model_id,fold,rank,feature
lightgbm_clf_baseline,7,25,MIN_RATIO_60
lightgbm_clf_baseline,7,26,MA_RATIO_60
lightgbm_clf_baseline,7,27,ROC120
lightgbm_clf_baseline,7,28,MAX_RATIO_120
lightgbm_clf_baseline,7,29,MIN_RATIO_120
lightgbm_clf_baseline,7,30,MA_RATIO_120
lightgbm_clf_baseline,7,31,ROC250
lightgbm_clf_baseline,7,32,MAX_RATIO_250
lightgbm_clf_baseline,7,33,MIN_RATIO_250
lightgbm_clf_baseline,7,34,MA_RATIO_250
lightgbm_clf_baseline,7,35,STD5
lightgbm_clf_baseline,7,36,STD10
lightgbm_clf_baseline,7,37,STD20
lightgbm_clf_baseline,7,38,STD30
lightgbm_clf_baseline,7,39,STD60
lightgbm_clf_baseline,7,40,STD120
lightgbm_clf_baseline,7,41,STD250
lightgbm_clf_baseline,7,42,ATR_RATIO_5
lightgbm_clf_baseline,7,43,ATR_RATIO_20
lightgbm_clf_baseline,7,44,ATR_RATIO_60
lightgbm_clf_baseline,7,45,ROC_STD_20
lightgbm_clf_baseline,7,46,ROC_STD_60
lightgbm_clf_baseline,7,47,ROC_STD_120
lightgbm_clf_baseline,7,48,ROC_STD_250
lightgbm_clf_baseline,7,49,MOM_ACC_20_60
lightgbm_clf_baseline,7,50,MOM_ACC_60_120
lightgbm_clf_baseline,7,51,VMA_RATIO_5
lightgbm_clf_baseline,7,52,VSTD_5
lightgbm_clf_baseline,7,53,VMA_RATIO_10
lightgbm_clf_baseline,7,54,VSTD_10
lightgbm_clf_baseline,7,55,VMA_RATIO_20
